gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3447294386,2021.0,4.0,species,"Stenella coeruleoalba (Meyen, 1833)",43.666748,-2.580456,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447294383,2021.0,4.0,species,"Stenella coeruleoalba (Meyen, 1833)",43.666748,-2.580456,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447294296,2021.0,4.0,family,Hyperoodontidae,43.666689,-2.229181,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447293830,2021.0,4.0,family,Delphinidae,43.666747,-2.521218,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447292079,2021.0,4.0,species,"Mesoplodon densirostris (Blainville, 1817)",43.666686,-2.30887,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Mesoplodon densirostris
3447291153,2021.0,6.0,family,Delphinidae,42.251982,4.016748,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447291120,2021.0,6.0,species,"Stenella coeruleoalba (Meyen, 1833)",42.366326,3.70936,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Stenella coeruleoalba
3447290852,2021.0,4.0,genus,"Mesoplodon Gervais, 1850",43.666726,-2.356934,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Mesoplodon Gervais
3447290420,2021.0,7.0,family,Balaenopteridae,41.662295,4.569876,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,
3447290414,2021.0,7.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.668927,4.572306,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Balaenoptera physalus
3447290058,2021.0,6.0,species,"Balaenoptera physalus (Linnaeus, 1758)",41.449495,5.361048,,,desconocido,desconocido,country_derived_from_coordinates,no asignado,Balaenoptera physalus
